,name,obsid,main_type,BYDra,Candidate_YSO,Orion_V*,TTau*,YSO
7917,2CXO J053520.9-052321,4374,YSO,0.08026743859651395,0.15941384174683984,0.2393259674949025,0.16473734461927694,0.35625540754246665
7960,2CXO J053521.3-052345,4395,Orion_V*,0.12347372440563745,0.11254943110816297,0.44798016028638726,0.05365614136375105,0.2623405428360614
7961,2CXO J053521.3-052345,4374,YSO,0.11930614566278361,0.10746564938716212,0.331597274636662,0.10600214058724777,0.3356287897261445
7963,2CXO J053521.3-052345,4396,Orion_V*,0.03720252975664221,0.07972737896676882,0.3805284021004589,0.12812941495908464,0.3744122742170454
8003,2CXO J053521.8-052240,3744,Orion_V*,0.06821970219828011,0.13330737997562858,0.3870524294153328,0.09466879546939024,0.3167516929413683
8009,2CXO J053521.8-052355,4396,TTau*,0.14563006171573675,0.14593487439260958,0.19833850910638448,0.454104896264509,0.05599165852076036
8013,2CXO J053521.8-052355,4373,Orion_V*,0.09863083272400441,0.09483634526004206,0.4544933050337973,0.05496177878634882,0.29707773819580724
8069,2CXO J053522.4-052509,3498,Orion_V*,0.07702669175554983,0.10259476437880849,0.32248533162882,0.1768964534317116,0.32099675880511014
8115,2CXO J053523.4-052001,4373,YSO,0.1308088902107517,0.1683887387293906,0.17916045646743103,0.1721365048489408,0.3495054097434859
8216,2CXO J053525.4-052333,4395,YSO,0.07792810459317219,0.17568568694132178,0.20569478539524907,0.1580453350930649,0.382646087977192
8270,2CXO J053526.4-052344,4373,BYDra,0.31977118933003373,0.31423020283483133,0.12277306577992605,0.145706873715331,0.09751866833987788
8272,2CXO J053526.4-052344,4396,Candidate_YSO,0.28825474965963493,0.32216584785992597,0.1267273418671968,0.12076410711685492,0.14208795349638734
8273,2CXO J053526.4-052344,3744,YSO,0.060304636330786365,0.10280745836551557,0.301633336002883,0.139239509825784,0.396015059475031
8278,2CXO J053526.9-052400,3744,YSO,0.06771945827058626,0.12418552113027566,0.2765858949237694,0.1798962898908531,0.3516128357845156
8572,2CXO J053538.1-051810,3744,YSO,0.09869197319693748,0.12783837242479226,0.31445963737801935,0.1359916275870716,0.3230183894131793
8573,2CXO J053538.1-051810,3498,YSO,0.07055952091294487,0.08453465896468025,0.271975319618851,0.12794937034088238,0.44498113016264146
8592,2CXO J053540.2-051728,1522,YSO,0.08986546149481889,0.09744152673785345,0.32478911553600137,0.1480580706766894,0.3398458255546369
8593,2CXO J053540.5-052703,4395,TTau*,0.16530826458503353,0.2050766666583048,0.08474893176594753,0.281703282623205,0.2631628543675092
8672,2CXO J053601.5-065012,12355,TTau*,0.11964551061478848,0.1451560476349587,0.24239471761851433,0.2806581748423602,0.21214554928937826
8916,2CXO J053908.6+261524,8242,Orion_V*,0.09717947092544969,0.10013127718115769,0.32562768617311155,0.222170244100386,0.2548913216198951
8918,2CXO J053909.4+262224,8242,Orion_V*,0.08512463449039274,0.13066947914525556,0.30901285620389074,0.22531944504831017,0.24987358511215066
8919,2CXO J053909.6+262247,8242,Orion_V*,0.08442682945134122,0.09543816458559236,0.32531972050345076,0.22626009436508757,0.2685551910945281
