,name,obsid,main_type,HMXB,Orion_V*,QSO,TTau*,YSO
8925,2CXO J053932.1+261931,8242,Orion_V*,0.11311739249187311,0.4037259893185575,0.1073850133494329,0.14259923236874206,0.23317237247139447
8940,2CXO J053948.5-285822,4274,QSO,0.1639172585466619,0.15208829334701401,0.3653731622071989,0.141999140043429,0.17662214585569616
8958,2CXO J053958.7-690609,16640,HMXB,0.2789242893744875,0.2652357803053608,0.16948858901953343,0.053140860644651705,0.23321048065596658
9148,2CXO J054819.3-702045,1992,HMXB,0.4629778080249511,0.0970489145986787,0.24066102367176423,0.15938446072568518,0.03992779297892078
9167,2CXO J055154.5+323025,14367,QSO,0.1482535454203776,0.03837793415945663,0.640620688182728,0.09105548606391149,0.08169234617352614
9203,2CXO J055425.4-675538,1039,QSO,0.09096160571482297,0.0017535628597149869,0.8775220242992596,0.029477378642505978,0.00028542848369637826
9211,2CXO J055930.4-523833,13117,Orion_V*,0.14932532889843705,0.3235791157834904,0.08120646052277661,0.16862866875320154,0.2772604260420944
9239,2CXO J060745.4-062931,1882,Orion_V*,0.24572595125722424,0.2864270785803962,0.10117027833072521,0.11822399328266071,0.2484526985489936
9241,2CXO J060747.3-061547,1882,Orion_V*,0.252361450668589,0.3363798871007666,0.0694301792025285,0.07563309792915136,0.2661953850989645
9244,2CXO J060748.2-062708,1882,Orion_V*,0.17186634961128525,0.39482151346649585,0.09078682093451526,0.09699307992081016,0.2455322360668934
9249,2CXO J060758.3-061405,1882,YSO,0.18306927799766018,0.13488863039441504,0.2550531638658477,0.10623568622234528,0.32075324151973195
9255,2CXO J060801.5-061637,1882,YSO,0.2055844599912349,0.17882660774346268,0.20053874312957728,0.08349487071711449,0.33155531841861063
9259,2CXO J060821.4-062409,1882,YSO,0.18435116781447172,0.2763885430764816,0.08947718416408397,0.08006258642536704,0.36972051851959575
9299,2CXO J061634.8-394345,15126,Orion_V*,0.15320371425181514,0.36513621588931283,0.12079744982488763,0.15512489320249695,0.2057377268314873
9314,2CXO J061705.4-522020,13127,YSO,0.18260992224659434,0.2708939351700662,0.09536716013276,0.17269121783635685,0.2784377646142226
9315,2CXO J061705.4-522020,12261,YSO,0.23445049802788034,0.27001601905312683,0.05403278222996219,0.1264215340122035,0.31507916667682717
9337,2CXO J061911.3-622502,7569,QSO,0.3270754642693111,0.04968843134158862,0.4377113644603826,0.13124629251244208,0.054278447416275445
9339,2CXO J061924.3-580551,15263,YSO,0.2797248746972509,0.11611886052898769,0.2682523674837974,0.055764988994296195,0.2801389082956679
9379,2CXO J062616.6-543632,4944,TTau*,0.18420482819543488,0.23647881112122318,0.07584826671103681,0.2567166851929,0.24675140877940505
9380,2CXO J062636.7-541946,13522,Orion_V*,0.13716512019694618,0.3753768788679315,0.08160085977409436,0.163898671182906,0.24195846997812204
9407,2CXO J063155.3+045633,8454,YSO,0.04690450546061521,0.058037990741004235,0.04775959692436176,0.0677279499377141,0.7795699569363047
9410,2CXO J063155.6+045601,8454,YSO,0.04690450546061521,0.058037990741004235,0.04775959692436176,0.0677279499377141,0.7795699569363047
9453,2CXO J063309.3+101339,6397,Orion_V*,0.2588622244972286,0.33334221525085367,0.1056279783325548,0.14474554891384067,0.15742203300552207
