,name,obsid,main_type,AGN,HMXB,QSO,SNR,YSO
13185,2CXO J111148.5-603925,2782,AGN,0.26421593346129163,0.1425833101284182,0.1998474302673056,0.1710236486048606,0.22232967753812397
13248,2CXO J111445.5-611500,12329,AGN,0.492036232032216,0.02285892039563898,0.15729525618107992,0.2463345260926592,0.08147506529840587
13249,2CXO J111445.5-611500,12330,YSO,0.32538827387330854,0.03000737054859661,0.09943962273181081,0.16543707595837812,0.37972765688790594
13252,2CXO J111453.5-612423,633,AGN,0.3219791214726224,0.08696114018395316,0.23993579092702094,0.15861732483504246,0.1925066225813608
13255,2CXO J111459.4-611433,633,YSO,0.17689310731288546,0.18157987463081035,0.1234454158944838,0.08617671146262187,0.4319048906991985
13273,2CXO J111507.2-611537,12328,AGN,0.3424925120251539,0.05247449966511909,0.28523280929616357,0.24310165181702575,0.07669852719653768
13290,2CXO J111507.5-611654,13162,YSO,0.24056836752020586,0.032046795044384416,0.09215699124855577,0.11869670429703878,0.5165311418898152
13292,2CXO J111507.5-611654,12329,AGN,0.3626443467159943,0.04505545128138762,0.13158598171692126,0.18998895646847935,0.2707252638172174
13299,2CXO J111509.3-611602,12328,QSO,0.230142522567138,0.12717803309711995,0.2596013463544384,0.12967142093398196,0.25340667704732167
13314,2CXO J111602.1+013829,9375,QSO,0.2855708159928198,0.14073115973574757,0.3581382471150716,0.07100397144349936,0.1445558057128616
13320,2CXO J111612.6-611706,12329,AGN,0.31034840071844616,0.07852948189764988,0.25281142807262585,0.17687062086394303,0.1814400684473351
13360,2CXO J111914.2-612749,4676,AGN,0.3098655680988905,0.0702015239665433,0.15775945895295512,0.1690670196214729,0.29310642936013814
13395,2CXO J112037.0+530856,3951,AGN,0.481672703914677,0.004046005571851251,0.12471521784062026,0.37488118706300366,0.014684885609847972
13403,2CXO J112049.2+530127,3951,AGN,0.4734741015666784,0.0036974927927207447,0.1254545397359339,0.38260988585341277,0.01476398005125425
13449,2CXO J112347.3-591834,6679,AGN,0.3417051135985292,0.1925225798426735,0.23344484639071275,0.17402022621225888,0.05830723395582558
13450,2CXO J112347.3-591834,6677,AGN,0.42489563637055866,0.12150031981944767,0.19355121821791504,0.22790357581195902,0.03214924978011957
13452,2CXO J112347.3-591834,6678,AGN,0.3922637292057498,0.09501228458861412,0.2234999830730504,0.21415949440591955,0.07506450872666609
13460,2CXO J112423.6+013527,3013,AGN,0.4128692199006143,0.028139621968185848,0.2954188454999594,0.21909128906665107,0.04448102356458932
13490,2CXO J112634.2+570059,7607,AGN,0.3794704756409477,0.014882072776355598,0.3110593036980073,0.24114133384765343,0.05344681403703592
13611,2CXO J113332.8+344441,11577,QSO,0.281672057902218,0.08349798728496644,0.4022771209910271,0.11764638306246121,0.11490645075932727
13667,2CXO J114436.5+193916,514,QSO,0.37034736438869714,0.02973153105660072,0.4369520668084343,0.14024468790903963,0.02272434983722849
13720,2CXO J114802.5+593642,10389,QSO,0.2985335373202057,0.022791712419920323,0.38527303095327187,0.18815888208816406,0.10524283721843819
13721,2CXO J114810.4+123316,9406,QSO,0.2823192308585813,0.0491031312042775,0.45208195407511975,0.16271467901861886,0.053781004843402536
13769,2CXO J115317.0+114647,9230,QSO,0.21350086235854554,0.1317900573590753,0.5107624295930447,0.10749749398034708,0.03644915670898746
13789,2CXO J115531.7+232243,5003,YSO,0.1890421368908221,0.14468788217568165,0.24168415706583982,0.07995186708414109,0.3446339567835153
